Customer Number,Company,Address2,Address3,City,PostalCode,Phone,Route,Branch,Route Code,Email
20976573,Duke Services,31855 PACIFIC HWY S,,FEDERAL WAY,98003,2539416459,1011,91,,SALES@DUKESERVICES.COM
20976574,Duke Services,3100 N HWY 59,,MERCED,95348,,1011,91,,SALES@DUKESERVICES.COM
20976575,Duke Services,4030 RUCKER AVE,,EVERETT,98201,4252591613,1011,91,,SALES@DUKESERVICES.COM
20976576,Duke Services,1725 EVERGREEN PARK DR SW,,OLYMPIA,98502,3607543584,1011,91,,SALES@DUKESERVICES.COM
20976577,Duke Services,24001 PACIFIC HWY,,KENT,98032,2068701656,1011,91,,SALES@DUKESERVICES.COM
20976578,Duke Services,10504 AURORA AVE N,,SEATTLE,98133,2065241417,1011,91,,SALES@DUKESERVICES.COM
20976579,Duke Services,104 INTERSTATE AVENUE,,CHEHALIS,98532,3607484833,1011,91,,SALES@DUKESERVICES.COM
20976580,Duke Services,20122 MOUNTAIN HWY,,SPANAWAY,98387,2538468420,1011,91,,SALES@DUKESERVICES.COM
20976581,Duke Services,5433 S ORCHARD ST,,TACOMA,98467,2534711819,1011,91,,SALES@DUKESERVICES.COM
20976582,Duke Services,10402 SE 256TH ST,,KENT,98030,2538594893,1011,91,,SALES@DUKESERVICES.COM
20976583,Duke Services,901 W CASINO RD,,EVERETT,98204,4253476599,1011,91,,SALES@DUKESERVICES.COM
20976584,Duke Services,710 S GRADY WAY,,RENTON,98055,4252270843,1011,91,,SALES@DUKESERVICES.COM
20976585,Duke Services,11450 124th St S,,Kirkland,98034,,1011,91,,SALES@DUKESERVICES.COM
20976586,Duke Services,7301 DELRIDGE WAY SW,,SEATTLE,98109,2067681080,1011,91,,SALES@DUKESERVICES.COM
20976587,Duke Services,19705 OLD HWY 99 SW,,ROCHESTER,98579,3602735111,1011,91,,SALES@DUKESERVICES.COM
20976588,Duke Services,17200 140TH AVE SE,,RENTON,98058,4252357088,1011,91,,SALES@DUKESERVICES.COM
20976589,Duke Services,10006 S TACOMA WAY,,TACOMA,98499,2535882545,1011,91,,SALES@DUKESERVICES.COM
20976590,Duke Services,3521 172ND ST NE,,ARLINGTON,98223,3606591922,1011,91,,SALES@DUKESERVICES.COM
20976591,Duke Services,251 RAINER AVE N,,RENTON,98055,4256870877,1011,91,,SALES@DUKESERVICES.COM
20976592,Duke Services,10108 194TH ST E,,GRAHAM,98338,2538460785,1011,91,,SALES@DUKESERVICES.COM
20976593,Duke Services,220 SE EVERETT MALL WAY,,EVERETT,98208,4257100101,1011,91,,SALES@DUKESERVICES.COM
20976594,Duke Services,16629 HIGHWAY 99,,LYNNWOOD,98037,4257545199,1011,91,,SALES@DUKESERVICES.COM
20976595,Duke Services,11109 S STEELE ST,,TACOMA,98444,2535815139,1011,91,,SALES@DUKESERVICES.COM
20976596,Duke Services,1197 SLATER RD,,BELLINGHAM,98226,3603129651,1011,91,,SALES@DUKESERVICES.COM
20976597,Duke Services,2900 NE THIRD ST,,RENTON,98056,2062420545,1011,91,,SALES@DUKESERVICES.COM
20976598,Duke Services,1101 NORTH PEARL ST,,TACOMA,98406,2535031299,1011,91,,SALES@DUKESERVICES.COM
20976599,Duke Services,1537 DUVALL AVE NE,,RENTON,98059,4252773818,1011,91,,SALES@DUKESERVICES.COM
20976600,Duke Services,13739 ROOSEVELT RD SE,,MONROE,98272,3608051007,1011,91,,SALES@DUKESERVICES.COM
20976601,Duke Services,51 CARLSBORG ST,,SEQUIM,98382,,1011,91,,SALES@DUKESERVICES.COM
20976602,Duke Services,3648 AUBURN WAY N,,AUBURN,98002,2538048868,1011,91,,SALES@DUKESERVICES.COM
20976603,Duke Services,14650 BELL RED RD,,BELLEVUE,98007,2539412415,1011,91,,SALES@DUKESERVICES.COM
20976604,Duke Services,12903 NE 20TH ST,,BELLEVUE,98005,4258859866,1011,91,,SALES@DUKESERVICES.COM
20976605,Duke Services,106 E WALLACE KNEELAND BLVD,,SHELTON,98584,3604262699,1011,91,,SALES@DUKESERVICES.COM
20976606,Duke Services,2200 FOURTH AVE SO,,SEATTLE,98134,2066242697,1011,91,,SALES@DUKESERVICES.COM
20976607,Duke Services,9015 WILLOWS RD,,REDMOND,98052,4258696804,1011,91,,SALES@DUKESERVICES.COM
20976608,Duke Services,27202 PACIFIC HWY S,,FEDERAL WAY,98003,2538397411,1011,91,,SALES@DUKESERVICES.COM
20976609,Duke Services,3201 20TH AVE WEST,,SEATTLE,98199,2062829944,1011,91,,SALES@DUKESERVICES.COM
20976610,Duke Services,13055 N E 70TH PL,,KIRKLAND,98033,4252508316,1011,91,,SALES@DUKESERVICES.COM
20976611,Duke Services,2125 E COLLEGE WAY,,MOUNT VERNON,98273,3604284671,1011,91,,SALES@DUKESERVICES.COM
20976612,Duke Services,21214 84TH AVE S,,KENT,98032,2538720463,1011,91,,SALES@DUKESERVICES.COM
20976613,Duke Services,13054 KENT-KANGLEY RD,,KENT,98030,2536305977,1011,91,,SALES@DUKESERVICES.COM
20976614,Duke Services,2802 RAINIER AVE,,SEATTLE,98144,,1011,91,,SALES@DUKESERVICES.COM
20976615,Duke Services,15941 MERIDIAN AVE E,,PUYALLUP,98374,2538649005,1011,91,,SALES@DUKESERVICES.COM
20976616,Duke Services,21216 SR 9,,WOODINVILLE,98072,3604223593,1011,91,,SALES@DUKESERVICES.COM
20976617,Duke Services,1515 164TH AVE SW,,LYNNWOOD,98037,4257435862,1011,91,,SALES@DUKESERVICES.COM
20976618,Duke Services,212 15TH ST,,WASHOUGAL,98671,3608353957,1011,91,,SALES@DUKESERVICES.COM
20976619,Duke Services,11611 NE 8TH ST,,BELLEVUE,98005,4254549685,1011,91,,SALES@DUKESERVICES.COM
20976620,Duke Services,1124 4TH ST,,MARYSVILLE,98270,3606531355,1011,91,,SALES@DUKESERVICES.COM
20976621,Duke Services,3825 HARBOUR PT BLVD SW,,MUKILTEO,98275,4252909588,1011,91,,SALES@DUKESERVICES.COM
20976622,Duke Services,1420 BICKFORD AVE,,SNOHOMISH,98290,3605680337,1011,91,,SALES@DUKESERVICES.COM
20976623,Duke Services,35505 PACIFIC HWY S,,FEDERAL WAY,98003,3317024201,1011,91,,SALES@DUKESERVICES.COM
20976624,Duke Services,18116 HWY 410,,BONNEY LAKE,98390,2538638091,1011,91,,SALES@DUKESERVICES.COM
20976625,Duke Services,11908 PACIFIC AVE S,,TACOMA,98444,2535359785,1011,91,,SALES@DUKESERVICES.COM
20976626,Duke Services,1306 112TH ST SW,,EVERETT,98204,4253551596,1011,91,,SALES@DUKESERVICES.COM
20976627,Duke Services,3817 MAIN ST,,VANCOUVER,98663,3606930411,1011,91,,SALES@DUKESERVICES.COM
20976628,Duke Services,1039 LEWIS RIVER RD,,WOODLAND,98674,3602259565,1011,91,,SALES@DUKESERVICES.COM
20976629,Duke Services,6300 N 1st CIRCLE,,RIDGEFIELD,98642,3608878532,1011,91,,SALES@DUKESERVICES.COM
20976630,Duke Services,13605 NE 4TH PLAIN RD,,VANCOUVER,98682,3602532650,1011,91,,SALES@DUKESERVICES.COM
