Customer Number,Company,Address1,Address2,Address3,City,State,PostalCode,Phone,Route,Branch,Route Code
WCC01-1892   ,COREMARK - PORTLAND                     ,13551 SE JOHNSON RD                     ,                                        ,,MILWAUKIE           ,OR             ,97222,(503) 652-0200,2900,545,
WCC01-2101   ,GATEWAY FAST SERV                       ,515 NE 102ND AVE                       ,                                        ,,PORTLAND            ,OR             ,97220,(503) 255-0645,2900,545,
WCC01-1896   ,MCDONALD WHOLESALE                      ,2350 W BROADWAY                         ,                                        ,,EUGENE              ,OR             ,97402,(541) 345-8421,2900,545,
WCC01-1907   ,DON TACO                                ,2610 E FOURTH PLAIN BLVD                ,                                        ,,VANCOUVER           ,WA             ,98661,(971) 212-2331,2900,545,
WCC01-1908   ,NATURAL MART                            ,1726 SW 4TH AVE                         ,                                        ,,PORTLAND            ,OR             ,97201,(503) 477-6627,2900,545,
WCC01-1911   ,B & S MARKET                            ,6375 RIVER RD NE                        ,                                        ,,KEIZER              ,OR             ,97303,(503) 390-1188,2900,545,
WCC01-25543  ,SPIRIT ESPRESSO                         ,1710 GEARY ST SE                       ,                                        ,,ALBANY              ,OR             ,97322,(541) 979-3663,2900,545,
WCC01-3025   ,HONEY BAKED HAM-MACADAM                 ,5331 S W MACADAM    SUITE #1          ,                                        ,,PORTLAND            ,OR             ,97201,(503) 243-1181,2900,545,
WCC01-3090   ,THRIFTWAY - JIM'S                       ,660 S MAIN STREET                      ,                                        ,,BANKS               ,OR             ,97106,(503) 324-2171,2900,545,
WCC01-4022   ,LUCKY B FOODMART INC                    ,13038 NE SANDY                          ,                                        ,,PORTLAND            ,OR             ,97230,(971) 331-5425,2900,545,
WCC01-2291   ,BRIDGE STREET MINI MART                 ,490 BRIDGE STREET                       ,                                        ,,VERNONIA            ,OR             ,97064,(503) 429-4661,2900,545,
WCC01-230049 ,LUCKY DOG                               ,4638 PORTLAND RD NE                     ,                                        ,,SALEM               ,OR             ,97305,(503) 967-6146,2900,545,
WCC01-25469  ,THRIFTWAY - SWEET HOME                  ,621 MAIN ST                             ,                                        ,,SWEET HOME          ,OR             ,97386,(541) 367-6191,2900,545,
WCC01-25517  ,CHEVRON - WEST LINN                     ,19120 WILLAMETTE DR                     ,                                        ,,WEST LINN           ,OR             ,97068,(503) 534-0378,2900,545,
WCC01-5022   ,PUTTER'S BAR AND GRILL                  ,7302 S E WOODSTOCK                    ,                                        ,,PORTLAND            ,OR             ,97206,(503) 788-1950,2900,545,
WCC01-5167   ,B & B COUNTRY STORE                     ,1804 NW 119TH                         ,                                        ,,VANCOUVER           ,WA             ,98665,(360) 573-5181,2900,545,
WCC01-5254   ,VIRGINIA CAFE                           ,870 SW 10TH AVE                         ,                                        ,,PORTLAND            ,OR             ,97205,(503) 227-0033,2900,545,
WCC01-5360   ,SEASIDE CONVENTION CENTER               ,415 1ST AVE                             ,                                        ,,SEASIDE             ,OR             ,97138,(503) 738-8585,2900,545,
WCC01-25549  ,ANGRY BEAVER SPORTS BAR & GRILL         ,349 SW 4TH STREET                       ,                                        ,,CORVALLIS           ,OR             ,97330,(541) 286-4129,2900,545,
WCC01-3024   ,HONEY BAKED HAM-BEAV-HILL               ,11657 S W BEAVERTON HILLSDALE HWY     ,                                        ,,BEAVERTON           ,OR             ,97005,(503) 646-4446,2900,545,
WCC01-5208   ,TOBACCO TOWN #2                         ,8200 SW BARBUR BLVD                    ,                                        ,,PORTLAND            ,OR             ,97219,(503) 452-9990,2900,545,
WCC01-5362   ,CHEVRON - CORNELIUS                     ,990 N ADAIR ST                          ,                                        ,,CORNELIUS           ,OR             ,97113,(503) 359-0770,2900,545,
WCC01-2036   ,COUNTRY INN                             ,18786 S W BOONES FERRY RD            ,                                        ,,TUALATIN            ,OR             ,97062,(503) 692-2765,2900,545,
WCC01-2080   ,US FOODS                                ,350 S PACIFIC HWY                       ,                                        ,,WOODBURN            ,OR             ,97071,(503) 980-2500,2900,545,
WCC01-2205   ,CHECKERS MART                           ,9122 SE FLAVEL STREET                   ,                                        ,,PORTLAND            ,OR             ,97266,(503) 775-6833,2900,545,
WCC01-230018 ,19TH AT BATTLECREEK CLUBHOUSE           ,5796 COMMERCIAL ST SE #110              ,                                        ,,SALEM               ,OR             ,97306,(503) 586-0245,2900,545,
WCC01-5390   ,KIMS GIFTS & SUNDRIES 2                 ,121 SW MORRISON ST SUIT # 121           ,                                        ,,PORTLAND            ,OR             ,97204,(503) 224-6641,2900,545,
WCC01-5420   ,IMPERIAL BROWN                          ,198 SE 223RD AVE                        ,                                        ,,GRESHAM             ,OR             ,97030,(503) 665-5539,2900,545,
WCC01-5452   ,KANDIS KOFFEE                           ,33571 JUNIPER WAY                       ,                                        ,,SCAPPOOSE           ,OR             ,97056,(503) 543-2987,2900,545,
WCC01-5458   ,LITTLE LOIS CAFE                        ,576 Patterson St NW                     ,                                        ,,SALEM               ,OR             ,97304,(503) 362-8422,2900,545,
WCC01-5424   ,CHEVRON - FAIRVIEW                      ,1605 NE 223 ST                          ,                                        ,,FAIRVIEW            ,OR             ,97024,(503) 666-8970,2900,545,
WCC01-5429   ,PLAZA MARKET                            ,203 CENTER ST                           ,                                        ,,EATONVILLE          ,WA             ,98328,(360) 832-6151,2900,545,
WCC01-5446   ,HURRICANE COFFEE                        ,810 NE CENTER ST                        ,                                        ,,SHERIDAN            ,OR             ,97378,(503) 843-2918,2900,545,
WCC01-5451   ,UNIFIRST CORPORATION                    ,14321 NE WHITAKER WAY                   ,                                        ,,PORTLAND            ,OR             ,97294,(503) 256-5224,2900,545,
WCC01-5460   ,DIVERSITY CAFE                          ,2104 MAIN STREET                        ,                                        ,,FOREST GROVE        ,OR             ,97116,(503) 746-6093,2900,545,
WCC01-5461   ,REDTAIL ESPRESSO                        ,575 2ND ST                             ,                                        ,,LAFAYETTE           ,OR             ,97127,(503) 714-4026,2900,545,
WCC01-5477   ,POWERS CANDY                            ,1155 WILSON AVE                         ,                                        ,,POCATELLO           ,ID             ,83201,(208) 237-3311,2900,545,
WCC01-5480   ,JUBITZ - DRIVER SERVICES C-STORE        ,33 NE MIDDLEFIELD RD                    ,                                        ,,PORTLAND            ,OR             ,97211,(503) 283-1111,2900,545,
WCC01-5534   ,CHROME GIRLS ESPRESSO                   ,5121 SE TV HWY                          ,                                        ,,HILLSBORO           ,OR             ,97123,(503) 522-7165,2900,545,
WCC01-5537   ,JUBITZ - PORTLANDER INN                 ,10350 N VANCOUVER WAY                   ,                                        ,,PORTLAND            ,OR             ,97217,(503) 345-0300,2900,545,
WCC01-5538   ,ACE FOOD AND DRINK                      ,114 FRONT ST                           ,                                        ,,GASTON              ,OR             ,97119,(503) 990-4713,2900,545,
WCC01-5556   ,SUGAR CUBE ESPRESSO                     ,535 NE COLUMBIA BLVD                    ,                                        ,,PORTLAND            ,OR             ,97211,(503) 828-2200,2900,545,
WCC01-5557   ,US MARKET FOREST GROVE                  ,3712 PACIFIC AVE                        ,SUITE A                                 ,,FOREST GROVE        ,OR             ,97116,(707) 206-8364,2900,545,
WCC01-5589   ,SCOOTER RESTAURANT & SPORTS BAR         ,36641 US 26                             ,                                        ,,SANDY               ,OR             ,97055,(503) 826-9364,2900,545,
WCC01-5593   ,ESCAPE BAR & GRILL                      ,9004 NE SANDY BLVD                      ,                                        ,,PORTLAND            ,OR             ,97118,(503) 806-6882,2900,545,
WCC01-5601   ,GARIBALDI BAY MARKET                    ,705 GARIBALDI AVE                      ,                                        ,,GARIBALDI           ,OR             ,97118,(360) 450-7143,2900,545,
WCC01-5608   ,DUCK TALES KITCHEN                      ,612 N DIVINE RD                         ,                                        ,,VANCOUVER           ,WA             ,98661,(360) 735-7932,2900,545,
WCC01-5613   ,TILLAMOOK COUNTRY SMOKER DIST CENTER    ,10750 SW DENNEY RD                      ,                                        ,,BEAVERTON           ,OR             ,97008,(503) 386-8299,2900,545,
WCC01-5625   ,KELSO 1 STOP                            ,1800 S PACIFIC AVE                      ,                                        ,,KELSO               ,WA             ,98626,(360) 713-1408,2900,545,
WCC01-5626   ,TILLAMOOK COUNTRY SMOKER MANUFACT. CTR  ,8335 N HWY 101                          ,                                        ,,BAY CITY            ,OR             ,97107,(503) 377-2222,2900,545,
WCC01-5637   ,BASIC BARISTA COFFEE                    ,7060 W WARM SPRINGS RD                 ,#130                                    ,,LAS VEGAS           ,NV             ,89113,(702) 588-2405,2900,545,
WCC01-5639   ,THERMO FISHER SCIENTIFIC                ,8030 NE MAUZEY CT                       ,                                        ,,HILLSBORO           ,OR             ,97124,(503) 648-8160,2900,545,
WCC01-5641   ,COLOMBIAN COFFEE BEANS                  ,11945 SW PACIFIC HWY                    ,                                        ,,TIGARD              ,OR             ,97223,(971) 250-1843,2900,545,
WCC01-5642   ,JJ`S CAFFE                              ,9111 SW BARBR BLVD                      ,                                        ,,PORTLAND            ,OR             ,97219,(360) 823-7849,2900,545,
WCC01-5727   ,ENDICOTT COFFEE                         ,3829 SOUTH M STREET                     ,                                        ,,TACOMA              ,WA             ,98418,(253) 589-1060,2900,545,
WCC02-21062  ,SHOP SMART #56 - SUTHERLIN              ,811 EAST CENTRAL                        ,                                        ,,SUTHERLIN           ,OR             ,97479,(541) 459-2697,2900,545,
WCC02-22222  ,MISC CUSTOMER                           ,3843 W 11TH AVE #22                     ,                                        ,,EUGENE              ,OR             ,97402,(503) 793-0232,2900,545,
WCC02-25496  ,RAYS FOOD PLACE #45 - SISTERS           ,635 N ARROWLEAF TRAIL                   ,                                        ,,SISTERS             ,OR             ,97759,(541) 549-2222,2900,545,
WCC01-5465   ,MOCHA DELIGHT                           ,734 McCLAINE ST                         ,                                        ,,SILVERTON           ,OR             ,97381,(503) 689-2554,2900,545,
WCC01-5484   ,JUBITZ - MOE'S DELI                     ,33 NE MIDDLEFIELD RD                    ,                                        ,,PORTLAND            ,OR             ,97211,(503) 283-1111,2900,545,
WCC01-5489   ,CITY OF SEASIDE - CITY HALL             ,989 BROADWAY                            ,                                        ,,SEASIDE             ,OR             ,97138,(503) 738-5112,2900,545,
WCC01-5493   ,CITY OF SEASIDE - PUBLIC WORKS          ,1387 AVE U                              ,                                        ,,SEASIDE             ,OR             ,97138,(503) 738-5112,2900,545,
WCC01-230033 ,CHATTY SHACK                            ,4984 COMMERCIAL ST SE                   ,                                        ,,SALEM               ,OR             ,97302,(503) 689-1800,2900,545,
WCC01-25470  ,MILL CITY MARKET                        ,829 SW 1ST ST                           ,                                        ,,MILL CITY           ,OR             ,97360,(503) 897-2006,2900,545,
WCC01-2632   ,"SELF SERVICE MARKET, INC.               ",12325 SE 82ND AVE                       ,                                        ,,PORTLAND            ,OR             ,97266,(503) 786-1811,2900,545,
WCC01-3060   ,76 - MACADAM                            ,5235 S W MACADAM                      ,                                        ,,PORTLAND            ,OR             ,97201,(503) 223-8226,2900,545,
WCC02-25549  ,GINGER BREAD VILLAGE                    ,12300 OR-126                            ,                                        ,,MAPLETON            ,OR             ,97453,(541) 268-1099,2900,545,
WCC02-5488   ,J.A. MARKETING / IGA SUNRIVER           ,18160 COTTONWOOD ROAD                   ,                                        ,,SUN RIVER           ,OR             ,97707,(541) 593-8166,2900,545,
WCC03-21036  ,SHELTER COVE CAMPGROUND AND DELI        ,MENDES MINI STORAGE LOCKER #2 #1965     ,                                        ,,WHITETHORN          ,CA             ,95589,(707) 986-7474,2900,545,
WCC03-21070  ,CHEVRON - 4TH ST - HP#1                 ,1125 4TH STR                           ,                                        ,,EUREKA              ,CA             ,95501,(707) 443-3069,2900,545,
WCC03-21075  ,TEXACO- FORTUNA - HP#6                  ,390 SOUTH FORTUNA BLVD                 ,                                        ,,FORTUNA             ,CA             ,95540,(707) 725-5874,2900,545,
WCC03-21077  ,SHELL - MCKINLEYVILLE - HP#8            ,1606 CENTRAL AVE                       ,                                        ,,MCKINLEYVILLE       ,CA             ,95519,(707) 839-2887,2900,545,
WCC03-21083  ,TEXACO - EUREKA - HP#14                 ,1007 BROADWAY                           ,                                        ,,EUREKA              ,CA             ,95501,(707) 445-4455,2900,545,
WCC03-21084  ,SHELL - GARBERVILLE- HP#15              ,860 REDWOOD DR                         ,                                        ,,GARBERVILLE         ,CA             ,95542,(707) 923-9144,2900,545,
WCC01-5504   ,BREW 22                                 ,1260 S HOLLADAY                         ,                                        ,,SEASIDE             ,OR             ,97138,(503) 536-5825,2900,545,
WCC01-5519   ,SHELL - WESTPORT                        ,49332 US-30                             ,                                        ,,WESTPORT            ,OR             ,97016,(503) 455-2253,2900,545,
WCC01-5522   ,THE FERN CAFE                           ,1000 MAIN AVE N#2                       ,                                        ,,TILLAMOOK           ,OR             ,97141,(503) 842-4133,2900,545,
WCC01-5541   ,WASHMAN - OAKGROVE                      ,14373 SE McCLAUGHLIN                    ,                                        ,,PORTLAND            ,OR             ,97267,(503) 255-9111,2900,545,
WCC01-5545   ,THRIFTWAY - METHOW VALLEY               ,920 HIGHWAY 20                          ,                                        ,,WINTHROP            ,WA             ,98862,,2900,545,
WCC01-5546   ,RISE AND GRIND - FOSTER                 ,10101 SE FOSTER RD                      ,                                        ,,PORTLAND            ,OR             ,97212,(541) 400-8026,2900,545,
WCC01-5547   ,GGE ENTERPRISE LLC                      ,1836 NE 7TH AVE  SUITE 105              ,                                        ,,PORTLAND            ,OR             ,97212,(904) 616-1096,2900,545,
WCC01-5548   ,COUNTRY CAFE                            ,605 STATE STREET                        ,                                        ,,LYLE                ,WA             ,98635,(509) 365-6861,2900,545,
WCC01-5562   ,SAM'S BILLIARDS                         ,1845 NE 41ST AVE                       ,                                        ,,PORTLAND            ,OR             ,97212,(503) 282-8266,2900,545,
WCC01-5572   ,THE COFFEE WAREHOUSE                    ,3808 NORTH SULLIVAN                     ,BUILDING 5Q                             ,,SPOKANE VALLEY      ,WA             ,99216,(509) 891-6551,2900,545,
WCC01-5579   ,WILD ALASKAN COFFEE COMPANY             ,5124 SE 17TH AVE                        ,                                        ,,PORTLAND            ,OR             ,97202,(971) 279-2944,2900,545,
WCC01-5590   ,TEXACO - NEWBERG                        ,1902 PORTLAND RD                        ,                                        ,,NEWBERG             ,OR             ,97132,,2900,545,
WCC01-5610   ,SCHOLLS 76 FOOD MART                    ,5065 SW SCHOLLS FERRY RD                ,                                        ,,PORTLAND            ,OR             ,97225,(503) 292-1386,2900,545,
WCC01-5615   ,DICK HANNAH KIA                         ,3400 NE AUTO MALL DR                    ,                                        ,,VANCOUVER           ,WA             ,98662,(360) 342-9660,2900,545,
WCC01-5616   ,DICK HANNAH HONDA                       ,3321 NE AUTO MALL DR                    ,                                        ,,VANCOUVER           ,WA             ,98662,(360) 342-9600,2900,545,
WCC01-5622   ,THE MELODY EVENT CENTER                 ,615 SE ALDER ST                         ,                                        ,,PORTLAND            ,OR             ,97214,(503) 232-2759,2900,545,
WCC03-21127  ,MISC CUSTOMER                           ,21400 NW MAUZEY RD                      ,                                        ,,HILLSBORO           ,OR             ,97124,,2900,545,
WCC03-30000  ,WAREHOUSE - FORTUNA                     ,963A SINGLEY RD                         ,                                        ,,LOLETA              ,CA             ,95551,,2900,545,
WCC03-31028  ,HOBYS FOOD MART                         ,111 MAIN ST                            ,PO BOX 247                              ,,SCOTIA              ,CA             ,95565,(707) 764-3623,2900,545,
WCC03-31029  ,CHEVRON - HIOUCHI                       ,2100 HWY 199                            ,                                        ,,HIOUCHI             ,CA             ,95531,(707) 458-3114,2900,545,
WCC03-31050  ,PATRIOT - VALLEY WEST                   ,1675 GUINTOLI LANE                      ,                                        ,,ARCATA              ,CA             ,95521,(707) 822-3105,2900,545,
WCC03-31070  ,CHEVRON - JOE'S                         ,900 HWY 101 NORTH                       ,                                        ,,CRESCENT CITY       ,CA             ,95531,,2900,545,
WCC04-240044 ,CHEVRON -  ROSEDALE                     ,9700 ROSEDALE HWY                       ,                                        ,,BAKERSFIELD         ,CA             ,93312,(661) 588-4455,2900,545,
WCC04-40002  ,SHELL - TIPTON                          ,683 THOMPSON RD                         ,                                        ,,TIPTON              ,CA             ,93272,(559) 752-4582,2900,545,
WCC04-40007  ,VALERO -  GRAND CONVENIENT STORE        ,4615 N CEDAR AVE                        ,                                        ,,FRESNO              ,CA             ,93726,(559) 226-7328,2900,545,
WCC04-40048  ,CITY HEART KWIK SERVE                   ,7 BULLARD AVE                           ,                                        ,,CLOVIS              ,CA             ,93612,(559) 298-3977,2900,545,
WCC04-40055  ,76 - KETTLEMAN CITY CHASE INC           ,27574 BERNARD DR                        ,                                        ,,KETTLEMAN CITY      ,CA             ,93239,(559) 386-0226,2900,545,
WCC04-40083  ,CHEVRON - INYOKERN                      ,6260 INYOKERN RD (HWY 178)              ,                                        ,,INYOKERN            ,CA             ,93527,(760) 377-5868,2900,545,
WCC01-4042   ,MISC CUSTOMER                           ,21400 NW MAUZEY RD                      ,                                        ,,HILLSBORO           ,OR             ,97124,(503) 643-3697,2900,545,
WCC01-5185   ,THRIFTWAY - HOODLAND                    ,62480 HWY 26                           ,                                        ,,WELCHES             ,OR             ,97067,(503) 622-3244,2900,545,
WCC01-5383   ,SPORTS ON TAP                           ,16021 SE HAPPY VALLEY TOWN CENTER DR    ,                                        ,,HAPPY VALLEY        ,OR             ,97086,(206) 406-9149,2900,545,
WCC01-5388   ,GARIBALDI MINI MART                     ,513 GARIBALDI AVE                       ,                                        ,,GARIBALDI           ,OR             ,97118,(503) 791-4288,2900,545,
WCC01-5633   ,THE MORRISON GROUP                      ,3876 E CHILDS AVE                       ,                                        ,,MERCED              ,CA             ,95340,(4420) 408-8819,2900,545,
WCC02-180006 ,RODEO RESTAURANT                        ,785 SE 3RD ST                           ,                                        ,,BEND                ,OR             ,97701,(541) 617-5952,2900,545,
WCC02-1869   ,RAYS FOOD PLACE #76 - LA PINE           ,51537 HWY 97                            ,                                        ,,LA PINE             ,OR             ,97739,(541) 536-2041,2900,545,
WCC02-21069  ,RAYS FOOD PLACE #17 - MYRTLE CREEK      ,909 SOUTH MAIN                          ,                                        ,,MYRTLE CREEK        ,OR             ,97457,(541) 863-4484,2900,545,
WCC01-5397   ,KENNY`S IGA VILLAGE MARKET (SOUTH)      ,4845 SW HWY 101                         ,                                        ,,LINCOLN CITY        ,OR             ,97367,(541) 996-2301,2900,545,
WCC01-5407   ,KITCHEN TABLE - EVERGREEN PLACE         ,705 NE 136TH AVE - SUITE 101           ,                                        ,,VANCOUVER           ,WA             ,98684,(503) 320-4603,2900,545,
WCC01-5419   ,JAVIER'S TACO SHOP - VANCOUVER          ,11115 NE FOURTH PLAIN                   ,                                        ,,VANCOUVER           ,WA             ,98662,(971) 212-2331,2900,545,
